session_id,image_id,rating,updated_at
bbff5150-e0e4-425f-b177-5b9aa44c0d49,30,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,31,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,32,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,33,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,34,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,35,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,36,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,37,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,38,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,39,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,40,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,41,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,42,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,43,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,44,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,45,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,46,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,47,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,48,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,49,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,50,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,51,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,52,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,53,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,54,true,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,55,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,56,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,57,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,58,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,59,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,60,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,61,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,62,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,63,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,64,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,65,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,66,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,67,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,68,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,69,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,70,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,71,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,72,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,73,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,74,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,75,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,76,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,77,true,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,78,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,79,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,80,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,81,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,82,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,83,true,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,84,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,85,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,86,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,87,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,88,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,89,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,90,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,91,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,92,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,93,true,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,94,true,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,95,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,96,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,97,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,98,true,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,99,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,100,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,101,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,102,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,103,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,104,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,105,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,106,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,107,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,108,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,109,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,110,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,111,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,112,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,113,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,114,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,115,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,116,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,117,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,118,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,119,true,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,120,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,121,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,122,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,123,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,124,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,125,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,126,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,127,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,128,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,129,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,130,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,131,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,132,true,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,133,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,134,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,135,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,136,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,137,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,138,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,139,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,140,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,141,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,142,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,143,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,144,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,145,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,146,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,147,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,148,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,149,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,150,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,151,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,152,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,153,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,154,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,155,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,156,false,2026-07-09 13:14:22.80807+00
bbff5150-e0e4-425f-b177-5b9aa44c0d49,157,true,2026-07-09 13:14:22.80807+00
